每周学习时长（小时）,专业,性别,期中考试分数,期末考试分数,上课出勤率
23.11,财务管理,女,70.58,63.95,75.0
31.81,电子商务,男,76.7,70.6,86.0
20.78,电子商务,女,49.31,67.4,100.0
22.35,大数据管理,男,68.19,78.02,78.0
18.26,人工智能,男,62.73,73.36,82.0
21.13,工商管理,男,51.61,62.32,87.0
5.0,人工智能,男,96.08,71.08,78.0
13.17,电子商务,女,69.72,72.15,63.0
19.31,工商管理,男,63.77,71.15,71.0
22.84,人工智能,女,61.98,69.28,94.0
30.1,工商管理,女,76.15,90.97,75.0
31.89,大数据管理,男,73.15,76.18,72.0
8.14,工商管理,男,90.2,71.0,63.0
18.41,电子商务,女,39.08,47.15,70.0
11.31,电子商务,女,67.84,54.38,93.0
20.17,电子商务,女,55.15,68.6,83.0
17.91,工商管理,女,74.12,68.92,73.0
22.46,工商管理,男,68.98,75.3,81.0
13.05,人工智能,男,67.17,79.82,72.0
23.71,财务管理,女,83.51,75.26,78.0
16.86,财务管理,女,78.73,53.73,78.0
23.06,财务管理,女,86.62,84.42,91.0
19.47,财务管理,女,77.6,73.77,74.0
16.08,大数据管理,女,72.57,61.42,72.0
24.9,电子商务,女,100.0,92.6,95.0
13.41,财务管理,男,74.83,76.37,87.0
26.74,人工智能,男,58.44,60.5,75.0
24.89,人工智能,女,74.89,73.36,85.0
14.6,人工智能,女,100.0,94.91,72.0
18.49,工商管理,男,78.73,65.6,67.0
29.09,财务管理,女,77.94,77.5,75.0
16.66,电子商务,男,55.29,37.07,77.0
7.77,大数据管理,女,82.96,57.96,90.0
22.83,人工智能,男,100.0,88.71,80.0
14.54,财务管理,女,46.48,70.07,96.0
22.44,人工智能,女,81.31,68.16,99.0
32.32,大数据管理,女,60.16,70.15,75.0
28.66,人工智能,女,53.01,61.99,67.0
19.2,工商管理,女,57.85,70.24,89.0
26.37,电子商务,女,38.56,49.54,90.0
17.97,工商管理,女,49.07,62.26,91.0
22.14,财务管理,女,81.76,69.81,61.0
34.01,财务管理,男,70.72,78.62,72.0
13.25,工商管理,男,41.25,49.44,63.0
21.54,财务管理,男,61.53,63.18,82.0
11.73,大数据管理,女,56.83,64.76,90.0
27.29,工商管理,女,72.22,78.95,95.0
7.44,人工智能,男,73.56,61.75,79.0
18.98,大数据管理,男,66.07,61.39,65.0
26.26,工商管理,女,69.14,71.5,70.0
18.94,大数据管理,女,77.82,73.62,62.0
14.79,工商管理,男,72.16,58.88,78.0
16.45,电子商务,男,79.02,68.07,84.0
15.55,工商管理,女,67.89,56.17,82.0
15.34,人工智能,女,95.17,78.95,86.0
5.76,大数据管理,男,68.69,58.23,78.0
27.21,财务管理,女,72.73,78.02,71.0
14.46,电子商务,女,75.78,74.03,72.0
21.93,工商管理,男,60.19,55.38,65.0
14.51,大数据管理,女,96.71,80.56,73.0
17.74,财务管理,男,50.2,63.26,72.0
14.43,财务管理,女,66.78,66.38,89.0
24.3,工商管理,女,71.75,70.91,95.0
16.37,工商管理,女,75.85,60.58,77.0
25.23,财务管理,女,58.38,72.7,84.0
25.88,电子商务,男,68.42,77.02,61.0
5.0,大数据管理,男,51.96,53.0,93.0
10.72,财务管理,女,100.0,85.18,77.0
18.69,人工智能,女,76.11,51.11,82.0
15.31,人工智能,女,80.52,84.33,96.0
20.73,大数据管理,女,85.48,78.28,77.0
21.71,财务管理,女,70.7,73.79,82.0
19.89,大数据管理,女,79.02,70.68,69.0
25.91,电子商务,女,61.79,77.36,71.0
24.88,财务管理,男,47.19,54.25,88.0
21.23,财务管理,男,78.87,81.85,60.0
16.57,工商管理,女,79.67,79.49,89.0
13.28,电子商务,女,71.15,69.67,61.0
15.2,工商管理,女,78.0,66.69,72.0
7.88,电子商务,女,78.92,55.46,70.0
22.51,电子商务,女,71.2,82.44,94.0
20.16,财务管理,男,69.11,72.54,98.0
15.9,电子商务,男,75.65,82.73,83.0
25.33,工商管理,男,99.42,83.21,74.0
27.71,电子商务,女,57.56,64.62,82.0
18.8,大数据管理,男,69.33,81.54,76.0
17.65,人工智能,男,85.72,87.89,61.0
6.54,电子商务,女,59.68,54.52,61.0
18.47,工商管理,女,59.9,60.44,97.0
11.96,财务管理,男,52.92,64.8,94.0
24.48,工商管理,男,85.68,80.32,90.0
26.74,工商管理,男,92.21,87.15,69.0
25.67,工商管理,女,96.16,82.2,63.0
9.44,财务管理,女,62.13,76.6,95.0
26.6,财务管理,女,86.96,75.62,87.0
26.38,财务管理,男,100.0,88.56,63.0
34.01,大数据管理,男,74.32,73.58,77.0
29.32,财务管理,女,78.44,76.85,76.0
15.64,大数据管理,男,94.22,78.09,78.0
12.37,人工智能,男,76.84,78.44,87.0
26.25,大数据管理,男,92.11,92.68,100.0
19.53,大数据管理,男,84.29,79.72,72.0
12.89,财务管理,男,51.51,56.49,96.0
22.46,大数据管理,女,85.02,81.62,87.0
20.23,电子商务,女,76.51,79.42,81.0
20.21,财务管理,女,93.57,85.72,67.0
29.12,人工智能,女,98.94,73.94,75.0
22.08,人工智能,男,68.43,71.75,95.0
17.71,人工智能,女,79.65,69.43,63.0
9.74,大数据管理,男,100.0,81.96,69.0
13.52,工商管理,女,67.41,67.52,94.0
19.3,人工智能,男,74.78,78.64,79.0
13.32,电子商务,男,68.1,56.42,79.0
31.54,人工智能,男,87.1,84.11,71.0
36.32,财务管理,男,77.99,86.21,60.0
28.56,电子商务,女,100.0,82.75,95.0
7.11,大数据管理,女,100.0,100.0,90.0
19.95,电子商务,女,94.26,89.78,73.0
28.76,财务管理,男,82.8,78.32,76.0
13.55,财务管理,男,60.28,52.81,80.0
19.65,电子商务,女,66.52,67.41,88.0
17.51,财务管理,男,90.28,75.55,69.0
22.46,大数据管理,男,79.32,76.5,68.0
24.48,财务管理,男,89.92,89.52,62.0
7.71,工商管理,男,93.5,72.07,80.0
29.59,工商管理,女,70.52,79.99,87.0
16.48,工商管理,男,90.99,70.63,87.0
32.94,电子商务,女,89.23,82.57,80.0
24.18,电子商务,女,80.89,78.09,77.0
16.28,财务管理,男,67.11,70.8,71.0
21.58,人工智能,女,59.97,56.78,73.0
22.05,大数据管理,男,84.86,78.35,95.0
11.63,大数据管理,男,61.1,77.22,88.0
14.64,电子商务,女,84.89,85.18,82.0
21.22,财务管理,女,68.85,71.4,79.0
10.72,人工智能,男,69.45,44.45,79.0
18.92,工商管理,女,83.03,97.53,83.0
11.86,工商管理,男,74.19,67.53,71.0
19.56,人工智能,女,79.88,70.6,78.0
14.08,人工智能,男,83.01,66.82,64.0
27.74,工商管理,男,95.03,92.18,98.0
18.01,财务管理,男,66.04,70.79,92.0
20.92,财务管理,男,81.6,84.54,81.0
12.53,电子商务,男,75.06,62.82,95.0
20.84,人工智能,女,96.2,78.82,74.0
18.71,人工智能,女,72.35,83.77,61.0
17.38,财务管理,女,66.06,71.03,95.0
15.88,人工智能,女,80.85,71.41,80.0
26.35,大数据管理,男,80.26,70.46,74.0
9.13,财务管理,女,77.12,69.81,65.0
22.31,工商管理,女,88.54,90.01,90.0
22.77,人工智能,女,80.29,81.23,62.0
13.6,人工智能,女,93.92,78.18,86.0
28.23,财务管理,女,58.89,67.5,66.0
27.62,财务管理,女,56.7,78.92,68.0
12.97,人工智能,女,91.82,85.56,84.0
25.15,电子商务,男,78.88,72.32,85.0
15.81,人工智能,女,65.3,46.45,88.0
22.48,电子商务,男,100.0,85.26,72.0
22.11,财务管理,男,68.02,76.18,80.0
33.9,财务管理,男,73.18,74.52,97.0
35.88,人工智能,男,84.74,85.35,78.0
21.06,电子商务,女,85.87,74.76,65.0
21.13,工商管理,男,96.94,84.75,91.0
23.06,人工智能,男,53.88,55.82,72.0
21.33,人工智能,女,48.01,69.96,90.0
25.74,大数据管理,女,67.55,72.19,88.0
22.96,工商管理,女,79.64,70.79,87.0
21.23,财务管理,女,66.39,77.7,82.0
5.0,财务管理,女,87.89,62.89,93.0
20.09,工商管理,女,59.64,76.71,85.0
10.23,人工智能,女,79.62,79.68,89.0
19.35,大数据管理,男,54.44,71.49,77.0
11.57,工商管理,男,46.14,51.51,86.0
20.84,人工智能,男,100.0,78.87,61.0
6.38,大数据管理,女,53.69,55.63,88.0
25.97,大数据管理,女,68.27,73.66,88.0
35.45,电子商务,男,60.74,66.04,76.0
18.03,电子商务,女,79.67,73.7,98.0
15.2,财务管理,男,98.35,74.19,63.0
25.12,电子商务,男,81.21,66.34,71.0
13.83,人工智能,女,49.52,62.84,81.0
26.65,财务管理,女,49.64,60.17,74.0
25.64,财务管理,男,70.29,71.7,82.0
20.9,工商管理,女,67.56,56.23,64.0
19.91,大数据管理,女,97.78,74.82,90.0
23.79,电子商务,男,67.33,87.86,88.0
25.83,财务管理,女,50.75,60.96,85.0
25.23,大数据管理,男,83.43,84.27,78.0
14.27,大数据管理,女,59.75,59.18,62.0
36.24,大数据管理,男,77.2,61.8,75.0
9.74,电子商务,女,92.81,90.36,64.0
20.95,工商管理,男,63.08,68.29,61.0
23.2,财务管理,男,75.64,67.98,79.0
16.71,人工智能,女,54.9,59.11,60.0
14.5,电子商务,女,50.4,48.22,77.0
14.62,工商管理,女,75.41,84.83,79.0
20.78,电子商务,女,76.13,66.55,75.0
19.39,工商管理,男,79.77,71.71,81.0
24.76,大数据管理,男,78.81,71.25,70.0
34.14,大数据管理,女,81.25,83.96,74.0
20.14,电子商务,女,52.59,74.23,93.0
22.51,工商管理,男,74.6,85.99,86.0
22.11,大数据管理,女,61.55,65.62,91.0
12.99,财务管理,女,73.55,74.02,98.0
14.58,人工智能,女,92.36,74.45,65.0
20.5,大数据管理,男,51.09,53.99,88.0
19.5,人工智能,女,82.94,97.6,86.0
28.63,人工智能,女,88.97,92.28,70.0
12.38,工商管理,男,86.69,74.8,64.0
11.6,人工智能,男,68.66,80.88,90.0
19.21,电子商务,男,59.91,75.25,90.0
14.86,财务管理,女,91.22,81.75,98.0
19.33,大数据管理,女,59.56,69.57,86.0
33.24,财务管理,男,65.49,83.18,83.0
19.11,财务管理,女,45.04,47.72,68.0
6.32,财务管理,男,55.29,72.44,92.0
16.87,财务管理,女,79.53,71.83,76.0
18.91,财务管理,男,52.51,70.34,62.0
20.05,人工智能,男,66.58,64.78,66.0
31.43,大数据管理,男,65.24,79.55,97.0
25.3,大数据管理,男,66.48,67.37,67.0
11.08,大数据管理,男,84.7,68.41,88.0
18.73,大数据管理,男,87.64,78.54,96.0
21.26,电子商务,男,73.95,83.23,68.0
5.0,财务管理,男,77.28,52.28,91.0
29.09,人工智能,男,58.71,59.57,76.0
22.55,人工智能,男,66.38,63.05,71.0
26.82,电子商务,男,77.12,65.65,70.0
20.17,电子商务,男,100.0,95.96,68.0
20.55,大数据管理,女,58.75,71.15,61.0
27.22,人工智能,男,53.59,69.63,84.0
9.46,人工智能,男,92.15,71.6,84.0
16.64,电子商务,男,93.21,93.79,93.0
31.99,财务管理,女,100.0,79.5,68.0
24.35,财务管理,女,49.29,74.29,89.0
30.07,财务管理,男,47.75,60.96,82.0
23.45,人工智能,女,81.24,78.15,97.0
20.81,大数据管理,男,72.85,67.1,68.0
22.9,财务管理,女,87.69,69.09,74.0
25.62,财务管理,女,84.78,94.07,89.0
16.21,工商管理,男,84.1,81.11,87.0
25.69,财务管理,女,79.49,84.86,78.0
28.84,电子商务,女,70.76,64.94,68.0
20.97,大数据管理,女,62.81,69.91,97.0
18.69,大数据管理,男,51.49,66.73,95.0
9.59,财务管理,女,73.59,66.19,76.0
18.62,大数据管理,女,71.16,58.41,75.0
18.55,人工智能,男,85.64,83.11,63.0
21.06,工商管理,男,57.51,63.92,69.0
30.88,财务管理,男,60.4,62.12,72.0
23.3,人工智能,男,63.02,56.67,85.0
9.96,财务管理,女,82.99,76.38,88.0
17.94,电子商务,男,75.93,93.18,99.0
24.56,大数据管理,女,52.12,55.42,65.0
19.79,人工智能,男,72.53,72.82,91.0
15.06,工商管理,女,69.19,80.89,99.0
24.76,人工智能,女,83.28,73.31,94.0
25.9,财务管理,女,66.53,68.35,75.0
27.37,工商管理,男,73.85,69.04,75.0
24.6,电子商务,男,52.72,70.74,75.0
29.28,财务管理,男,71.25,81.32,69.0
9.62,财务管理,男,76.56,67.08,78.0
6.48,财务管理,男,62.29,51.0,82.0
8.15,大数据管理,女,66.56,59.83,78.0
23.65,电子商务,女,82.14,72.11,85.0
20.24,工商管理,女,64.36,60.9,79.0
26.02,财务管理,男,59.36,68.53,95.0
5.0,工商管理,男,55.76,60.89,86.0
21.12,人工智能,女,66.52,69.74,65.0
20.12,电子商务,男,69.37,70.88,76.0
22.04,电子商务,男,68.04,69.14,74.0
23.68,电子商务,男,54.3,64.06,89.0
23.06,财务管理,女,63.41,56.66,82.0
23.58,财务管理,女,73.04,70.0,60.0
29.58,财务管理,女,87.93,76.36,61.0
17.12,财务管理,男,74.47,61.74,85.0
11.29,工商管理,女,80.28,75.39,78.0
14.62,财务管理,女,72.84,59.95,72.0
19.13,人工智能,男,69.65,69.36,82.0
13.89,人工智能,男,93.79,83.85,64.0
21.26,大数据管理,女,71.42,65.34,86.0
13.95,人工智能,男,62.09,63.78,67.0
11.63,电子商务,男,51.81,42.03,83.0
34.76,大数据管理,女,72.71,88.07,76.0
13.39,财务管理,女,78.32,56.57,65.0
5.0,工商管理,男,93.37,71.58,86.0
20.14,大数据管理,女,55.68,69.66,64.0
17.54,大数据管理,女,57.85,59.86,84.0
35.08,财务管理,女,81.98,74.4,71.0
16.48,电子商务,男,100.0,84.94,61.0
23.46,财务管理,男,58.6,68.91,77.0
22.2,人工智能,男,63.89,60.01,72.0
16.69,大数据管理,女,61.94,57.26,64.0
32.29,大数据管理,女,80.78,78.3,72.0
28.27,工商管理,女,82.97,79.56,98.0
35.92,财务管理,男,49.12,53.98,64.0
23.99,工商管理,男,81.17,79.38,99.0
13.79,财务管理,女,45.35,69.71,90.0
29.7,财务管理,女,100.0,80.07,61.0
6.95,财务管理,男,80.35,60.73,69.0
19.96,电子商务,女,59.07,52.75,80.0
25.22,大数据管理,女,86.91,83.67,63.0
5.0,财务管理,女,47.18,64.42,94.0
21.53,大数据管理,男,95.14,92.01,63.0
18.37,大数据管理,男,85.27,69.01,88.0
14.26,大数据管理,女,86.19,77.89,81.0
30.95,电子商务,男,48.44,71.45,66.0
20.89,工商管理,男,48.6,65.78,98.0
13.16,工商管理,男,90.0,81.89,86.0
19.59,人工智能,男,71.13,67.51,92.0
12.59,人工智能,男,76.93,73.16,86.0
33.0,电子商务,男,59.76,78.99,75.0
21.45,电子商务,女,66.34,68.7,61.0
18.76,大数据管理,男,44.97,45.72,63.0
22.91,大数据管理,女,81.95,78.6,98.0
5.0,财务管理,男,86.06,82.26,84.0
29.99,财务管理,男,80.82,85.01,92.0
24.33,大数据管理,男,52.92,64.83,77.0
17.86,大数据管理,女,75.45,66.91,73.0
29.36,人工智能,女,64.77,79.97,72.0
21.11,大数据管理,男,83.77,93.54,99.0
31.38,财务管理,女,73.3,85.99,68.0
15.14,工商管理,男,79.2,82.18,63.0
29.69,财务管理,女,59.95,63.59,63.0
16.48,人工智能,女,82.56,72.97,100.0
24.72,工商管理,女,100.0,89.49,89.0
23.37,电子商务,女,59.33,69.62,99.0
20.27,电子商务,男,70.75,84.95,93.0
20.47,工商管理,女,100.0,94.7,95.0
5.0,电子商务,男,61.76,66.29,87.0
12.03,人工智能,男,84.82,60.63,89.0
15.78,人工智能,男,78.22,56.96,79.0
26.11,工商管理,女,100.0,91.66,99.0
33.63,电子商务,男,49.6,71.0,82.0
23.34,电子商务,男,75.91,73.29,73.0
9.83,工商管理,女,79.62,87.71,84.0
33.19,大数据管理,女,78.95,73.52,76.0
24.48,财务管理,女,37.3,45.68,80.0
12.86,工商管理,女,60.78,58.37,92.0
34.62,人工智能,女,75.17,73.37,77.0
25.96,大数据管理,男,53.47,70.83,100.0
16.54,工商管理,男,100.0,79.26,92.0
19.61,人工智能,男,66.71,57.73,89.0
14.88,工商管理,女,81.97,80.31,73.0
38.08,大数据管理,男,36.94,51.94,83.0
29.55,电子商务,女,56.79,56.64,69.0
7.6,电子商务,男,68.11,47.35,68.0
20.81,财务管理,女,49.35,63.3,96.0
27.09,电子商务,女,74.61,80.23,99.0
13.04,电子商务,女,87.22,91.81,84.0
20.31,工商管理,女,85.47,84.95,66.0
17.45,财务管理,男,54.18,75.62,98.0
26.95,财务管理,女,84.26,83.51,85.0
13.58,工商管理,男,78.49,64.68,95.0
16.88,工商管理,女,48.48,54.36,61.0
28.51,大数据管理,女,93.39,85.39,61.0
38.92,财务管理,女,95.1,94.16,71.0
27.94,大数据管理,男,43.69,56.84,72.0
25.39,电子商务,男,58.61,73.53,94.0
17.56,大数据管理,男,72.27,58.71,68.0
9.28,财务管理,女,83.5,63.23,92.0
20.8,财务管理,女,90.29,73.89,99.0
20.38,人工智能,男,72.39,67.33,63.0
22.06,人工智能,男,90.74,73.19,85.0
21.59,人工智能,女,66.86,64.07,80.0
7.78,工商管理,女,50.8,63.15,77.0
20.07,电子商务,女,67.03,57.23,68.0
30.29,大数据管理,男,78.33,75.07,65.0
11.54,财务管理,男,77.38,71.89,97.0
19.88,电子商务,女,85.64,78.77,79.0
23.55,电子商务,女,76.75,73.24,96.0
12.01,人工智能,男,81.41,78.2,83.0
27.91,人工智能,男,62.1,71.9,81.0
19.53,大数据管理,男,61.18,70.04,63.0
15.85,人工智能,女,78.32,71.21,72.0
26.2,电子商务,男,76.5,71.81,85.0
14.8,电子商务,男,41.17,49.55,94.0
28.98,工商管理,女,80.0,86.24,97.0
12.91,大数据管理,女,79.96,72.26,99.0
25.86,人工智能,女,72.64,69.23,82.0
23.1,大数据管理,女,81.55,71.89,81.0
19.97,工商管理,女,69.56,63.04,86.0
29.18,大数据管理,女,79.99,79.54,83.0
11.16,大数据管理,女,99.16,74.16,93.0
19.14,电子商务,女,100.0,86.68,71.0
32.24,大数据管理,女,87.46,85.15,66.0
28.78,财务管理,女,94.67,83.9,79.0
25.04,人工智能,女,73.47,86.82,71.0
14.92,大数据管理,女,81.4,69.14,67.0
32.23,电子商务,男,91.33,75.26,69.0
21.99,工商管理,男,69.19,66.42,74.0
17.52,工商管理,女,96.49,82.14,94.0
26.67,大数据管理,男,69.6,76.63,88.0
27.64,电子商务,男,72.85,70.73,71.0
8.76,人工智能,女,83.81,64.27,97.0
31.92,电子商务,女,82.29,74.8,74.0
28.06,大数据管理,男,83.3,77.21,96.0
20.64,人工智能,男,80.92,70.51,90.0
23.77,工商管理,女,80.27,69.0,93.0
15.27,工商管理,女,100.0,75.0,63.0
7.7,工商管理,男,84.31,76.61,69.0
16.34,电子商务,男,55.77,77.57,85.0
15.31,工商管理,女,50.19,61.6,67.0
23.34,大数据管理,女,67.04,82.79,90.0
24.37,工商管理,男,72.15,80.07,70.0
16.99,财务管理,女,63.37,74.94,98.0
20.82,财务管理,男,87.63,78.74,85.0
28.74,财务管理,男,64.03,72.43,77.0
24.75,电子商务,男,75.66,69.92,68.0
24.98,大数据管理,男,72.37,71.1,84.0
20.41,人工智能,女,60.55,62.88,67.0
19.49,工商管理,男,93.37,91.39,100.0
40.0,人工智能,男,88.44,93.55,98.0
17.35,人工智能,男,67.19,65.61,67.0
17.82,电子商务,男,86.24,74.56,67.0
5.65,工商管理,女,96.6,80.88,82.0
27.4,财务管理,男,86.53,86.3,81.0
12.64,财务管理,男,66.9,53.53,86.0
19.52,电子商务,男,100.0,75.0,66.0
33.49,人工智能,男,51.56,76.43,94.0
8.08,大数据管理,女,63.04,59.83,77.0
9.75,电子商务,女,100.0,77.57,80.0
28.82,工商管理,女,80.63,77.15,86.0
13.44,大数据管理,男,90.92,78.08,91.0
16.61,大数据管理,男,85.92,80.26,76.0
6.52,工商管理,男,52.85,46.39,82.0
19.87,电子商务,男,68.54,68.37,84.0
25.42,财务管理,男,74.45,80.13,98.0
15.42,大数据管理,男,75.14,71.23,63.0
29.24,大数据管理,女,100.0,89.01,78.0
19.87,财务管理,女,94.29,84.81,85.0
8.73,电子商务,女,70.3,57.49,65.0
5.0,电子商务,女,84.73,59.73,65.0
12.08,工商管理,女,63.37,81.06,66.0
29.24,大数据管理,男,100.0,84.3,64.0
21.22,工商管理,女,76.88,71.9,75.0
15.31,人工智能,男,81.99,83.17,95.0
18.63,人工智能,男,66.63,76.17,64.0
21.99,人工智能,男,100.0,80.25,80.0
27.99,大数据管理,男,68.89,69.32,92.0
18.82,大数据管理,男,72.08,61.63,100.0
33.93,电子商务,女,67.56,87.98,92.0
33.39,大数据管理,男,80.75,75.3,71.0
36.05,工商管理,女,73.14,83.25,99.0
19.63,大数据管理,女,96.02,76.52,87.0
17.02,电子商务,女,69.31,55.54,68.0
36.88,大数据管理,女,76.12,81.08,80.0
38.68,财务管理,男,67.02,70.31,62.0
39.23,人工智能,女,45.92,63.8,75.0
33.72,工商管理,男,77.73,95.06,98.0
33.5,电子商务,男,100.0,92.05,63.0
8.26,工商管理,男,54.68,65.11,72.0
31.53,电子商务,女,85.91,89.66,92.0
5.0,人工智能,女,51.11,48.16,62.0
10.83,工商管理,女,64.71,60.07,84.0
15.3,人工智能,男,93.59,80.95,83.0
24.05,大数据管理,女,100.0,86.32,71.0
14.24,大数据管理,女,73.81,61.73,79.0
26.66,人工智能,女,89.55,80.12,63.0
10.93,人工智能,男,63.48,56.58,84.0
12.44,电子商务,男,53.32,53.58,76.0
20.76,人工智能,男,64.46,64.03,62.0
12.19,人工智能,男,79.24,61.94,93.0
11.21,大数据管理,男,56.36,34.09,65.0
9.59,大数据管理,男,66.57,52.52,65.0
26.58,人工智能,女,60.1,78.88,75.0
23.9,财务管理,女,66.14,64.1,64.0
12.29,人工智能,女,68.21,76.15,98.0
21.3,大数据管理,女,55.02,45.17,65.0
28.24,大数据管理,女,66.29,67.37,90.0
26.88,电子商务,男,71.91,62.54,71.0
17.8,人工智能,男,79.62,72.49,83.0
23.0,工商管理,女,38.56,63.56,92.0
38.73,人工智能,女,91.27,92.17,62.0
5.0,人工智能,女,64.18,74.8,64.0
35.14,财务管理,男,77.4,76.02,66.0
29.95,财务管理,男,100.0,100.0,92.0
26.25,工商管理,女,95.82,98.15,62.0
28.6,财务管理,男,81.51,79.5,94.0
7.63,工商管理,男,73.92,65.2,99.0
14.83,工商管理,男,74.73,59.16,93.0
5.84,工商管理,男,66.42,59.19,94.0
20.32,电子商务,男,62.73,65.93,75.0
13.67,电子商务,女,77.42,83.03,61.0
14.32,电子商务,女,84.89,66.24,85.0
17.98,财务管理,男,59.21,64.63,92.0
26.84,电子商务,男,84.49,68.44,94.0
17.54,财务管理,女,54.87,57.74,75.0
10.02,人工智能,女,76.24,68.61,77.0
11.51,电子商务,男,80.27,74.23,75.0
21.9,人工智能,女,63.43,70.38,70.0
21.3,大数据管理,女,57.31,64.44,60.0
14.59,大数据管理,女,47.34,62.6,99.0
19.71,财务管理,男,90.23,77.21,74.0
19.35,工商管理,女,85.52,68.72,84.0
8.12,电子商务,女,50.39,34.51,68.0
8.89,大数据管理,男,78.66,63.85,67.0
18.31,财务管理,女,64.83,64.63,70.0
11.91,工商管理,男,62.63,73.29,73.0
21.37,工商管理,男,66.25,64.67,73.0
17.9,大数据管理,男,87.96,76.94,99.0
26.51,电子商务,男,74.63,78.17,76.0
10.55,工商管理,女,78.12,66.2,68.0
17.39,工商管理,女,98.14,85.13,62.0
32.52,人工智能,女,83.34,96.56,92.0
12.84,人工智能,男,91.04,92.24,62.0
10.65,工商管理,女,35.4,50.08,82.0
21.29,人工智能,男,86.97,81.99,92.0
9.03,电子商务,男,72.68,80.14,78.0
28.7,大数据管理,男,72.86,75.85,98.0
22.91,人工智能,男,65.27,74.08,66.0
17.02,电子商务,男,70.95,56.4,60.0
30.51,财务管理,女,51.87,68.72,98.0
25.47,财务管理,女,57.76,74.67,72.0
13.89,人工智能,男,51.91,53.32,78.0
12.48,财务管理,女,90.87,77.23,85.0
16.63,财务管理,女,87.05,62.05,81.0
13.78,电子商务,女,95.01,98.65,86.0
27.75,财务管理,男,86.01,91.78,98.0
13.45,工商管理,女,100.0,84.58,82.0
21.48,大数据管理,女,73.53,73.9,69.0
32.15,电子商务,男,80.17,82.93,68.0
18.39,电子商务,男,84.11,84.54,74.0
25.63,人工智能,女,80.66,71.48,67.0
33.26,财务管理,女,85.94,89.0,88.0
18.12,大数据管理,男,70.64,77.91,89.0
24.79,人工智能,男,51.1,71.76,65.0
28.7,人工智能,女,80.96,66.41,98.0
24.48,财务管理,男,95.17,79.5,81.0
16.34,工商管理,女,93.19,68.23,70.0
17.05,工商管理,女,54.0,61.41,82.0
5.0,大数据管理,女,46.91,29.79,69.0
19.88,财务管理,男,72.85,58.69,96.0
21.51,大数据管理,男,46.82,71.82,69.0
13.86,人工智能,男,73.99,73.43,81.0
30.14,工商管理,女,96.36,88.81,83.0
23.14,电子商务,女,66.63,71.19,76.0
18.94,工商管理,女,58.07,68.22,94.0
21.85,工商管理,女,73.41,82.87,88.0
18.27,大数据管理,男,76.54,67.58,87.0
31.31,工商管理,女,100.0,93.56,85.0
28.64,工商管理,女,75.15,78.29,93.0
7.19,人工智能,女,93.78,68.78,81.0
22.22,人工智能,男,96.71,91.56,66.0
26.07,财务管理,女,78.02,74.02,72.0
18.06,人工智能,女,64.91,76.0,85.0
26.53,电子商务,男,91.44,82.56,73.0
23.61,财务管理,女,67.7,82.97,73.0
20.51,电子商务,女,62.76,57.31,61.0
19.86,人工智能,男,82.65,68.96,88.0
21.65,人工智能,女,100.0,76.18,70.0
5.0,大数据管理,女,79.63,64.01,63.0
23.53,大数据管理,男,60.53,74.92,61.0
15.81,财务管理,女,49.72,69.85,66.0
17.94,人工智能,男,62.94,48.24,91.0
7.88,电子商务,男,85.51,73.6,85.0
16.68,大数据管理,女,96.58,71.58,75.0
27.51,人工智能,男,67.26,79.01,91.0
15.21,电子商务,女,75.68,81.09,87.0
26.08,电子商务,女,62.84,67.12,62.0
23.7,人工智能,女,76.08,76.07,77.0
12.65,电子商务,男,83.92,69.54,60.0
15.98,工商管理,女,57.67,53.35,64.0
13.32,财务管理,女,84.91,73.63,68.0
7.56,财务管理,男,71.1,59.22,68.0
15.73,大数据管理,男,74.43,77.96,84.0
31.85,电子商务,女,75.5,76.63,84.0
27.19,人工智能,男,37.92,52.87,78.0
6.61,人工智能,女,41.93,35.85,92.0
21.16,财务管理,女,59.86,51.73,96.0
14.01,大数据管理,女,84.04,88.33,96.0
22.0,工商管理,男,69.5,65.13,81.0
28.92,电子商务,男,98.47,93.22,90.0
24.07,大数据管理,女,60.47,80.1,73.0
5.0,大数据管理,女,69.4,61.26,98.0
9.48,大数据管理,男,77.01,58.82,65.0
11.41,电子商务,女,61.6,57.34,69.0
30.43,人工智能,女,58.02,73.37,94.0
15.71,大数据管理,男,75.9,85.67,75.0
14.61,电子商务,女,74.12,79.56,62.0
25.08,大数据管理,男,75.35,80.69,87.0
5.0,大数据管理,女,46.64,67.49,90.0
30.57,工商管理,男,73.54,76.28,75.0
12.62,财务管理,男,74.42,70.85,80.0
5.0,财务管理,男,35.15,41.4,76.0
29.96,财务管理,女,78.58,69.24,84.0
27.91,大数据管理,男,54.36,75.29,91.0
16.98,财务管理,女,90.78,82.18,77.0
28.95,人工智能,男,73.22,73.61,72.0
25.25,大数据管理,男,85.55,80.18,67.0
14.3,人工智能,女,72.48,54.06,83.0
21.5,财务管理,男,82.59,70.91,97.0
24.2,工商管理,男,61.19,71.37,85.0
10.59,电子商务,男,93.27,68.27,61.0
16.09,工商管理,女,67.01,63.63,85.0
21.44,人工智能,男,91.88,81.68,96.0
25.35,工商管理,男,80.48,72.71,83.0
17.67,大数据管理,男,89.44,72.53,87.0
23.74,财务管理,女,78.02,63.42,87.0
18.35,财务管理,男,73.04,65.39,66.0
